id	name	album	popularity	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
5YAXhS6lCmoQD4HJvi6YwW	Was It All Worth It	The Miracle	37	0.16	0.866	-5.277	0.0883	0.206	4.32e-5	0.0894	0.13	179.751	347800
1lCRw5FEZ1gPDNPzy1K4zW	We Are The Champions	News Of The World	75	0.268	0.459	-6.94	0.0346	0.378	0	0.118	0.175	64.177	179200
4pbJqGIASGPr0ZpGpnWkDn	We Will Rock You	News Of The World	79	0.692	0.497	-7.316	0.119	0.676	0	0.259	0.475	81.308	122067
0YI4wdf0gMuM3CgzrRslur	White Man	A Day At The Races	31	0.279	0.688	-7.738	0.0694	0.0977	0	0.241	0.266	141.628	298120
0TiXAAVOLdhZnto4Kwsgtm	White Queen (As It Began)	Queen II	34	0.242	0.296	-12.441	0.0358	0.829	3.79e-5	0.133	0.172	153.293	273200
02lvTeAFIIsOd0wVNoRkQ5	Who Needs You	News Of The World	39	0.863	0.381	-12.823	0.0528	0.261	2.77e-4	0.202	0.906	120.645	186853
41kCFJBcaLSt7Ruk5zO3Vr	Who Wants To Live Forever	A Kind Of Magic	50	0.0986	0.367	-8.96	0.035	0.591	0.00113	0.114	0.0386	68.131	315653
6susMmS2fohWe6TSlOfi1O	You And I	A Day At The Races	34	0.526	0.869	-5.78	0.0599	0.0796	0.00268	0.43	0.535	134.375	206147
4cVwf12pBJChNUXXl3jzdg	You Don't Fool Me	Made In Heaven	39	0.591	0.829	-6.499	0.036	0.101	8.63e-5	0.385	0.574	121.964	324853
6CD2NyrQ5rHmik1DjhdDdn	You Take My Breath Away	A Day At The Races	35	0.234	0.213	-15.166	0.0465	0.952	6.71e-5	0.264	0.0787	187.166	306480
4vhVDkSx9RSb2k6mWFMYNI	You're My Best Friend	A Night At The Opera	70	0.51	0.76	-6.995	0.0411	0.148	0.0116	0.0706	0.55	118.829	170787
