player,position,team,age,minutes_90s,cards_red,cards_yellow,fouls,fouled,ball_recoveries,goals,games,minutes_pct,passes_pct,touches,continent,ronda,amarillas
Mitchell Duke,FW,Australia,31.92,3,0,1,6,3,11,1,4,75,57.1,96,Oceania,octavos de final,si
Mohamed Ali Ben Romdhane,MF,Tunisia,23.28,0.8,0,0,1,1,10,0,1,27,66.7,31,Africa,fase de grupos,no
Mohamed Dräger,DF,Tunisia,26.48,1.5,0,0,2,1,2,0,2,48.9,72,70,Africa,fase de grupos,no
Mohamed Kanno,MF,Saudi Arabia,28.24,3,0,0,8,3,19,0,3,100,81,184,Asia,fase de grupos,no
Mohammed Al-Breik,DF,Saudi Arabia,30.26,0.7,0,0,0,1,3,0,2,24.1,81.3,57,Asia,fase de grupos,no
Mohammed Al-Owais,GK,Saudi Arabia,31.19,3,0,1,0,3,5,0,3,100,57,113,Asia,fase de grupos,si
Mohammed Muntari,FW,Qatar,28.99,0.7,0,0,1,2,4,1,3,23.3,89.5,28,Asia,fase de grupos,no
Mohammed Salisu,DF,Ghana,23.67,3,0,0,6,1,15,1,3,100,72.2,184,Africa,fase de grupos,no
Mohammed Waad,MF,Qatar,23.25,0.3,0,0,1,0,1,0,2,10.4,75,16,Asia,fase de grupos,no
Moisés Caicedo,MF,Ecuador,21.13,3,0,1,4,5,14,1,3,99.6,82.4,173,South America,fase de grupos,si
Montassar Talbi,DF,Tunisia,24.56,3,0,0,4,2,16,0,3,100,86.1,177,Africa,fase de grupos,no
Morteza Pouraliganji,DF,IR Iran,30.67,3,0,1,5,1,16,0,3,100,71.9,156,Asia,fase de grupos,si
Moumi Ngamaleu,FW,Cameroon,28.44,1.1,0,0,3,5,5,0,2,35.2,84,34,Africa,fase de grupos,no
Munir,GK,Morocco,33.61,1,0,0,0,0,1,0,1,13.6,67.9,31,Africa,final o tercer puesto,no
Musab Kheder,DF,Qatar,29.23,0.1,0,0,0,1,0,0,1,2.2,100,5,Asia,fase de grupos,no
Na Sang-ho,FW,Korea Republic,26.35,1.3,0,0,2,0,5,0,2,33.1,64.9,60,Asia,octavos de final,no
Nader Ghandri,DF,Tunisia,27.83,1,0,0,0,1,2,0,1,33.3,81.8,45,Africa,fase de grupos,no
Nahuel Molina,DF,Argentina,24.7,6.3,0,0,3,0,23,1,7,82.2,81.3,398,South America,final o tercer puesto,no
Nampalys Mendy,MF,Senegal,30.49,3,0,1,5,2,18,0,4,75.6,88.7,182,Africa,octavos de final,si
Nasser Al-Dawsari,FW,Saudi Arabia,24,0.1,0,0,1,0,1,0,1,1.9,100,13,Asia,fase de grupos,no
Nathan Aké,DF,Netherlands,27.83,5.3,0,1,4,6,21,0,5,99.8,90.3,393,Europe,cuartos de final,si
Nathaniel Atkinson,DF,Australia,23.52,0.9,0,0,0,0,6,0,1,23.3,79.4,43,Oceania,octavos de final,no
Nawaf Al Abed,MF,Saudi Arabia,32.89,1,0,1,2,2,2,0,2,32.6,84.6,51,Asia,fase de grupos,si
Nayef Aguerd,DF,Morocco,26.72,3.9,0,0,2,0,18,0,4,53.5,86.7,185,Africa,final o tercer puesto,no
Naïm Sliti,MF,Tunisia,30.39,1.3,0,0,0,3,8,0,2,42.2,56.9,67,Africa,fase de grupos,no
Neco Williams,DF,Wales,21.68,2.3,0,0,3,5,16,0,3,75.6,68.3,138,Europe,fase de grupos,no
Nemanja Gudelj,MF,Serbia,31.09,1,0,2,3,0,6,0,2,34.1,84.6,59,Europe,fase de grupos,si
Nemanja Maksimović,MF,Serbia,27.89,1.4,0,0,0,1,6,0,3,45.2,87.7,75,Europe,fase de grupos,no
Nemanja Radonjić,DF,Serbia,26.84,0.7,0,0,0,2,6,0,3,22.2,62.5,36,Europe,fase de grupos,no
Neymar,MF,Brazil,30.87,3.1,0,0,4,16,11,2,3,58.1,79.1,203,South America,cuartos de final,no
Niclas Füllkrug,FW,Germany,29.85,0.8,0,0,0,1,2,2,3,25.6,62.5,38,Europe,fase de grupos,no
Nico Elvedi,DF,Switzerland,26.22,2,0,1,3,1,15,0,2,50,92.3,165,Europe,octavos de final,si
Nico Schlotterbeck,DF,Germany,23.05,1,0,0,1,1,10,0,2,34.8,89.4,135,Europe,fase de grupos,no
Nico Williams,FW,Spain,20.44,1.6,0,0,0,1,7,0,4,37.4,79.4,88,Europe,octavos de final,no
Nicola Zalewski,MF,Poland,20.9,0.7,0,0,1,2,5,0,2,18.1,88.2,29,Europe,octavos de final,no
Nicolas Jackson,FW,Senegal,21.5,0.2,0,0,1,0,3,0,1,4.7,90,11,Africa,octavos de final,no
Nicolas Nkoulou,DF,Cameroon,32.73,2,0,1,2,2,11,0,2,66.7,86.8,115,Africa,fase de grupos,si
Nicolás De La Cruz,MF,Uruguay,25.55,0.4,0,0,0,2,4,0,2,14.1,80,28,South America,fase de grupos,no
Nicolás Otamendi,DF,Argentina,34.85,7.7,0,2,13,5,39,0,7,100,92.2,639,South America,final o tercer puesto,si
Nicolás Tagliafico,DF,Argentina,30.3,4.1,0,0,6,6,12,0,6,54.1,81.5,220,South America,final o tercer puesto,no
Niklas Süle,DF,Germany,27.29,3,0,0,0,2,17,0,3,99.6,90.6,268,Europe,fase de grupos,no
Nikola Milenković,DF,Serbia,25.18,3,0,2,8,2,18,0,3,100,86.5,198,Europe,fase de grupos,si
Nikola Vlašić,FW,Croatia,25.21,2.3,0,0,4,6,10,0,6,30.3,81.8,80,Europe,final o tercer puesto,no
Noa Lang,MF,Netherlands,23.5,0.1,0,1,0,0,1,0,1,1.7,33.3,5,Europe,cuartos de final,si
Noah Okafor,FW,Switzerland,22.57,0.5,0,0,2,1,4,0,3,12.5,77.3,29,Europe,octavos de final,no
Nouhou Tolo,DF,Cameroon,25.49,3,0,1,3,1,17,0,3,100,76.1,145,Africa,fase de grupos,si
Noussair Mazraoui,DF,Morocco,25.09,4.1,0,0,3,1,21,0,5,55.3,81,175,Africa,final o tercer puesto,no
Nuno Mendes,DF,Portugal,20.5,0.5,0,0,0,2,2,0,1,9.1,90.6,36,Europe,cuartos de final,no
Néstor Araujo,DF,Mexico,31.3,1,0,1,2,0,6,0,1,33.3,83,62,North America,fase de grupos,si
Olivier Giroud,FW,France,36.22,4.7,0,1,2,4,7,4,6,63.5,64.9,111,Europe,final o tercer puesto,si
Olivier Ntcham,MF,Cameroon,26.85,0.3,0,0,0,0,1,0,1,9.3,91.7,14,Africa,fase de grupos,no
Orbelín Pineda,MF,Mexico,26.74,0.8,0,0,2,4,4,0,1,28.1,72,46,North America,fase de grupos,no
Osman Bukari,MF,Ghana,24.01,0.7,0,0,1,1,2,1,2,21.9,70,29,Africa,fase de grupos,no
Otávio,MF,Portugal,27.85,2.2,0,0,6,10,16,0,3,43.6,77.2,145,Europe,cuartos de final,no
Ousmane Dembélé,FW,France,25.59,4.8,0,1,6,3,26,0,7,65.6,75.4,241,Europe,final o tercer puesto,si
Pablo Sarabia,FW,Spain,30.61,0,0,0,0,0,0,0,1,0.8,40,6,Europe,octavos de final,no
Paik Seung-ho,MF,Korea Republic,25.76,0.3,0,0,1,0,4,1,1,7.2,74.1,30,Asia,octavos de final,no
Pape Abou Cissé,DF,Senegal,27.26,1.2,0,0,1,0,2,0,3,29.2,75.7,49,Africa,octavos de final,no
Pape Gueye,MF,Senegal,23.9,1.7,0,0,3,3,5,0,3,42.5,72.6,81,Africa,octavos de final,no
Pape Matar Sarr,MF,Senegal,20.26,0.7,0,0,0,1,3,0,2,16.4,83.7,54,Africa,octavos de final,no
Papu Gómez,MF,Argentina,34.84,1.2,0,0,1,5,6,0,2,15.5,88.3,69,South America,final o tercer puesto,no
Pathé Ciss,MF,Senegal,28.76,1.6,0,1,4,0,10,0,3,40.6,80.7,74,Africa,octavos de final,si
Pau Torres,DF,Spain,25.92,1,0,0,1,0,6,0,1,23.1,91.1,194,Europe,octavos de final,no
Paulo Dybala,FW,Argentina,29.09,0.2,0,0,1,0,1,0,2,2.6,66.7,20,South America,final o tercer puesto,no
Pedri,MF,Spain,20.06,4,0,0,2,3,27,0,4,91.3,90.6,462,Europe,octavos de final,no
Pedro,FW,Brazil,25.5,0.7,0,0,2,1,2,0,2,13.3,76.9,25,South America,cuartos de final,no
Pepe,DF,Portugal,39.81,4,0,0,3,5,28,1,4,80,82.4,330,Europe,cuartos de final,no
Pervis Estupiñán,DF,Ecuador,24.91,3,0,0,8,3,21,0,3,100,77.9,217,South America,fase de grupos,no
Phil Foden,FW,England,22.56,2.9,0,0,2,4,9,1,4,57.3,76.9,143,Europe,cuartos de final,no
Piero Hincapié,DF,Ecuador,20.94,3,0,0,5,1,13,0,3,100,84,227,South America,fase de grupos,no
Pierre Højbjerg,MF,Denmark,27.37,3,0,0,0,1,26,0,3,100,89.3,249,Europe,fase de grupos,no
Pierre Kunde,MF,Cameroon,27.4,1.5,0,1,3,1,13,0,2,48.5,77.6,70,Africa,fase de grupos,si
Piotr Zieliński,MF,Poland,28.58,3.6,0,0,4,2,17,1,4,91.1,81,178,Europe,octavos de final,no
Przemysław Frankowski,MF,Poland,27.68,2.7,0,1,1,5,12,0,4,66.7,66.2,97,Europe,octavos de final,si
Rafael Leão,FW,Portugal,23.52,1,0,0,3,1,5,2,5,19.6,68.1,63,Europe,cuartos de final,no
Raheem Sterling,FW,England,28.03,1.7,0,0,0,2,8,1,3,33.1,81.8,68,Europe,cuartos de final,no
Ramin Rezaeian,DF,IR Iran,32.75,2,0,1,2,3,22,1,2,66.7,69.5,130,Asia,fase de grupos,si
Randal Kolo Muani,FW,France,24.04,2,0,0,4,5,9,1,3,27.6,56.8,76,Europe,final o tercer puesto,no
Raphaël Guerreiro,DF,Portugal,28.99,3.1,0,0,2,1,17,1,4,62,84.3,207,Europe,cuartos de final,no
Raphaël Varane,DF,France,29.65,5.8,0,0,1,1,17,0,6,78.5,89.5,322,Europe,final o tercer puesto,no
Raphinha,FW,Brazil,26.01,3.5,0,0,2,5,11,0,5,65.6,74,189,South America,cuartos de final,no
Rasmus Nissen,DF,Denmark,25.44,2.5,0,1,2,1,15,0,3,83,76.5,204,Europe,fase de grupos,si
Raúl Jiménez,FW,Mexico,31.62,0.7,0,0,1,1,2,0,3,21.9,62.5,37,North America,fase de grupos,no
Remo Freuler,MF,Switzerland,30.68,3.6,0,0,6,2,19,1,4,89.7,82.5,197,Europe,octavos de final,no
Renato Steffen,FW,Switzerland,31.12,0.4,0,0,0,1,5,0,1,8.9,86.7,19,Europe,octavos de final,no
Ricardo Horta,FW,Portugal,28.26,1.3,0,0,3,1,6,1,3,26.4,67.4,55,Europe,cuartos de final,no
Ricardo Rodríguez,DF,Switzerland,30.32,4,0,0,6,2,16,0,4,99.7,71.6,247,Europe,octavos de final,no
Richarlison,FW,Brazil,25.61,3.6,0,0,5,6,13,3,4,67.3,69,97,South America,cuartos de final,no
Richie Laryea,DF,Canada,27.95,1.8,0,0,1,2,11,0,3,59.3,74.5,73,North America,fase de grupos,no
Riley McGree,FW,Australia,24.13,2.9,0,0,9,2,11,0,4,73.6,76,107,Oceania,octavos de final,no
Ritsu Doan,FW,Japan,24.51,2.4,0,0,3,4,11,2,4,55.6,64.3,95,Asia,octavos de final,no
Riyadh Sharahili,MF,Saudi Arabia,29.64,0.6,0,0,4,0,3,0,1,20,82.4,28,Asia,fase de grupos,no
Roan Wilson,MF,Costa Rica,20.63,0,0,0,0,0,1,0,1,0.4,100,8,North America,fase de grupos,no
Robert Lewandowski,FW,Poland,34.33,4,0,0,6,9,14,2,4,100,67,153,Europe,octavos de final,no
Robert Skov,DF,Denmark,26.58,0.2,0,1,1,0,2,0,1,8.1,81,24,Europe,fase de grupos,si
Roberto Alvarado,FW,Mexico,24.28,0.2,0,1,1,0,0,0,1,6.7,50,12,North America,fase de grupos,si
Rodri,DF,Spain,26.49,4.3,0,0,5,1,35,0,4,100,93.2,710,Europe,octavos de final,no
Rodrigo Bentancur,MF,Uruguay,25.48,2.4,0,1,5,3,35,0,3,78.9,85,197,South America,fase de grupos,si
Rodrigo De Paul,MF,Argentina,28.57,6.7,0,0,7,15,42,0,7,86.8,83.6,625,South America,final o tercer puesto,no
Rodrygo,MF,Brazil,21.94,2,0,0,3,6,11,0,5,37.7,80.5,152,South America,cuartos de final,no
Rogelio Funes Mori,FW,Mexico,31.79,0.1,0,0,2,1,0,0,1,1.9,NA,2,North America,fase de grupos,no
Romain Saïss,DF,Morocco,32.73,5.2,0,1,4,0,28,1,6,70.6,79.9,248,Africa,final o tercer puesto,si
Romario Ibarra,MF,Ecuador,28.23,0.8,0,0,0,0,3,0,2,25.2,71.4,23,South America,fase de grupos,no
Romelu Lukaku,FW,Belgium,29.6,0.6,0,0,1,0,1,0,2,20.4,66.7,16,Europe,fase de grupos,no
Roozbeh Cheshmi,DF,IR Iran,29.4,0.6,0,0,1,0,4,1,2,21.5,63.6,19,Asia,fase de grupos,no
Ruben Vargas,FW,Switzerland,24.37,3.2,0,1,4,2,11,0,4,79.2,68.4,140,Europe,octavos de final,si
Rubin Colwill,MF,Wales,20.64,0.1,0,0,0,0,1,0,1,3.7,50,6,Europe,fase de grupos,no
Ró-Ró,DF,Qatar,32.37,2.9,0,0,4,5,14,0,3,97,72.2,134,Asia,fase de grupos,no
Rónald Matarrita,DF,Costa Rica,28.44,0.3,0,0,1,1,4,0,2,9.6,62.1,30,North America,fase de grupos,no
Rúben Dias,DF,Portugal,25.6,4,0,1,4,2,15,0,4,80,90.5,293,Europe,cuartos de final,si
Rúben Neves,MF,Portugal,25.77,3,0,1,5,2,12,0,5,59.6,91.4,275,Europe,cuartos de final,si
Saad Al Sheeb,GK,Qatar,32.83,1,0,1,1,1,3,0,1,33.3,90,22,Asia,fase de grupos,si
Sadegh Moharrami,DF,IR Iran,26.8,1,0,0,2,0,6,0,1,33.3,69.2,32,Asia,fase de grupos,no
Saeid Ezatolahi,MF,IR Iran,26.21,2.4,0,0,2,5,17,0,3,80.4,75,115,Asia,fase de grupos,no
Saleh Al-Shehri,FW,Saudi Arabia,29.13,2.5,0,1,6,5,7,1,3,82.6,61.7,73,Asia,fase de grupos,si
Salem Al-Dawsari,MF,Saudi Arabia,31.33,3,0,1,3,3,16,2,3,100,77.5,146,Asia,fase de grupos,si
Salis Abdul Samed,MF,Ghana,22.73,2.8,0,0,5,2,15,0,3,92.6,89,169,Africa,fase de grupos,no
Salman Al-Faraj,MF,Saudi Arabia,33.38,0.5,0,0,0,0,1,0,1,16.3,75,19,Asia,fase de grupos,no
Sam Adekugbe,DF,Canada,27.92,1.1,0,1,1,0,3,0,3,35.2,88.7,77,North America,fase de grupos,si
Saman Ghoddos,MF,IR Iran,29.28,0.5,0,0,1,0,1,0,1,16.7,75,24,Asia,fase de grupos,no
Sami Al-Najei,MF,Saudi Arabia,25.86,0.5,0,0,0,0,2,0,1,16.7,61.9,25,Asia,fase de grupos,no
Samuel Oum Gouet,MF,Cameroon,25.01,1.1,0,0,0,1,10,0,2,37,88.1,65,Africa,fase de grupos,no
Sardar Azmoun,FW,IR Iran,27.96,1.4,0,0,1,1,3,0,3,46.7,60,40,Asia,fase de grupos,no
Saud Abdulhamid,DF,Saudi Arabia,23.42,3,0,1,7,5,14,0,3,100,72.1,150,Asia,fase de grupos,si
Saša Lukić,MF,Serbia,26.35,2.7,0,2,7,1,19,0,3,90.7,88.3,182,Europe,fase de grupos,si
Sebastian Szymański,MF,Poland,23.61,1.5,0,0,1,3,6,0,2,37.2,63.4,61,Europe,octavos de final,no
Sebastián Coates,DF,Uruguay,32.2,2,0,1,2,0,9,0,2,66.7,81.7,107,South America,fase de grupos,si
Selim Amallah,MF,Morocco,26.09,4.5,0,1,11,8,12,0,7,62,74.7,145,Africa,final o tercer puesto,si
Serge Gnabry,FW,Germany,27.43,2.9,0,0,2,2,11,1,3,97.4,72.9,148,Europe,fase de grupos,no
Sergej Milinković-Savić,MF,Serbia,27.81,2.6,0,1,2,4,18,1,3,86.3,72.5,158,Europe,fase de grupos,si
Sergio Busquets,MF,Spain,34.42,4,0,1,3,3,28,0,4,93.1,90.3,309,Europe,octavos de final,si
Sergio Rochet,GK,Uruguay,29.74,3,0,0,1,0,2,0,3,100,69.2,88,South America,fase de grupos,no
Sergiño Dest,DF,United States,22.12,3.4,0,1,4,2,13,0,4,84.7,86,250,North America,octavos de final,si
Shaquell Moore,DF,United States,26.13,0.2,0,0,3,0,2,0,2,6.1,66.7,27,North America,octavos de final,no
Shogo Taniguchi,DF,Japan,31.43,2.3,0,1,3,0,8,0,2,53.8,84.7,105,Asia,octavos de final,si
Shūichi Gonda,GK,Japan,33.79,4.3,0,0,1,0,1,0,4,100,60.2,124,Asia,octavos de final,no
Silvan Widmer,DF,Switzerland,29.79,2.9,0,1,4,2,13,0,3,73.6,75.1,208,Europe,octavos de final,si
Simon Kjær,DF,Denmark,33.73,0.7,0,0,0,0,6,0,1,23.7,84.7,68,Europe,fase de grupos,no
Sofiane Boufal,FW,Morocco,29.25,5.3,0,1,11,14,20,0,7,72,74.4,199,Africa,final o tercer puesto,si
Sofyan Amrabat,MF,Morocco,26.33,7.3,0,1,14,6,57,0,7,100,83.5,383,Africa,final o tercer puesto,si
Son Heung-min,FW,Korea Republic,30.45,4,0,0,1,6,16,0,4,100,67,158,Asia,octavos de final,no
Son Jun-ho,MF,Korea Republic,30.6,0.8,0,0,5,0,9,0,3,20,93.2,68,Asia,octavos de final,no
Sorba Thomas,MF,Wales,23.32,0,0,0,0,0,1,0,1,0.4,75,6,Europe,fase de grupos,no
Srđan Babić,DF,Serbia,26.66,0.1,0,0,0,0,1,0,1,4.8,62.5,16,Europe,fase de grupos,no
Stefan Mitrović,DF,Serbia,32.58,0.4,0,0,0,0,1,0,1,13,85.7,22,Europe,fase de grupos,no
Stephen Eustáquio,MF,Canada,25.99,1.4,0,0,1,1,10,0,2,46.3,89.2,109,North America,fase de grupos,no
Steve Mandanda,GK,France,37.73,1,0,0,0,0,1,0,1,13.6,61.3,32,Europe,final o tercer puesto,no
Steven Berghuis,MF,Netherlands,31,2.2,0,1,4,0,8,0,4,41.7,74,141,Europe,cuartos de final,si
Steven Bergwijn,FW,Netherlands,25.19,2.4,0,1,2,4,4,0,4,44.4,88.9,85,Europe,cuartos de final,si
Steven Vitória,DF,Canada,35.93,3,0,1,6,5,18,0,3,100,86,203,North America,fase de grupos,si
Strahinja Pavlović,DF,Serbia,21.57,2.6,0,2,6,4,18,1,3,87,77.6,186,Europe,fase de grupos,si
Sultan Al-Ghanam,DF,Saudi Arabia,28.62,1.4,0,0,2,0,4,0,3,46.7,65.4,68,Asia,fase de grupos,no
Taha Yassine Khenissi,FW,Tunisia,30.95,0.3,0,1,3,1,0,0,2,10.7,33.3,8,Africa,fase de grupos,si
Tajon Buchanan,MF,Canada,23.86,2.9,0,1,6,6,14,0,3,96.3,68.5,131,North America,fase de grupos,si
Takefusa Kubo,FW,Japan,21.54,1,0,0,2,2,4,0,2,23.1,54.5,23,Asia,octavos de final,no
Takehiro Tomiyasu,DF,Japan,24.12,2.1,0,0,1,0,12,0,3,47.9,70.9,118,Asia,octavos de final,no
Takuma Asano,FW,Japan,28.1,1.8,0,0,4,0,8,1,4,42.3,75,49,Asia,octavos de final,no
Takumi Minamino,FW,Japan,27.92,0.7,0,0,1,0,4,0,3,15.4,63.6,32,Asia,octavos de final,no
Tarek Salman,DF,Qatar,25.04,0.1,0,0,0,0,1,0,1,3,70,14,Asia,fase de grupos,no
Tariq Lamptey,DF,Ghana,22.22,1.1,0,1,3,2,8,0,2,37.8,61.8,50,Africa,fase de grupos,si
Teun Koopmeiners,MF,Netherlands,24.8,2.4,0,1,6,1,12,0,5,45.6,75.6,149,Europe,cuartos de final,si
Theo Hernández,DF,France,25.2,5.6,0,1,6,13,30,1,6,77,85.3,383,Europe,final o tercer puesto,si
Thiago Almada,MF,Argentina,21.65,0.1,0,0,0,0,0,0,1,1,100,15,South America,final o tercer puesto,no
Thiago Silva,DF,Brazil,38.24,4.3,0,0,2,3,17,0,4,81.3,93.6,368,South America,cuartos de final,no
Thibaut Courtois,GK,Belgium,30.61,3,0,0,0,0,2,0,3,100,87.8,129,Europe,fase de grupos,no
Thilo Kehrer,DF,Germany,26.24,0.8,0,1,3,0,3,0,1,25.6,75.9,43,Europe,fase de grupos,si
Thomas Delaney,MF,Denmark,31.29,0.5,0,0,0,0,2,0,1,16.3,82.8,31,Europe,fase de grupos,no
Thomas Meunier,DF,Belgium,31.27,2.3,0,1,4,1,13,0,3,78.1,74.8,167,Europe,fase de grupos,si
Thomas Müller,FW,Germany,33.26,2.2,0,0,0,1,1,0,3,74.4,71.8,91,Europe,fase de grupos,no
Thomas Partey,MF,Ghana,29.52,3,0,0,3,2,21,0,3,100,83,220,Africa,fase de grupos,no
Thorgan Hazard,FW,Belgium,29.72,1.2,0,0,2,2,6,0,2,39.3,69,66,Europe,fase de grupos,no
Tim Ream,DF,United States,35.2,4,0,1,1,2,19,0,4,100,88.8,305,North America,octavos de final,si
Timothy Castagne,DF,Belgium,27.04,3,0,0,3,1,9,0,3,100,87.1,229,Europe,fase de grupos,no
Timothy Weah,FW,United States,22.82,3.5,0,0,1,1,10,1,4,87.8,83.3,132,North America,octavos de final,no
Toby Alderweireld,DF,Belgium,33.8,3,0,0,0,0,9,0,3,100,90.8,303,Europe,fase de grupos,no
Trent Alexander-Arnold,DF,England,24.2,0.4,0,0,1,0,1,0,1,7.6,91.3,24,Europe,cuartos de final,no
Tyler Adams,MF,United States,23.84,4,0,1,5,5,33,0,4,100,88.9,307,North America,octavos de final,si
Unai Simón,GK,Spain,25.52,4.3,0,0,0,0,11,0,4,100,93.8,167,Europe,octavos de final,no
Uriel Antuna,FW,Mexico,25.33,0.9,0,0,0,1,1,0,3,28.5,60,33,North America,fase de grupos,no
Vanja Milinković-Savić,GK,Serbia,25.82,3,0,0,0,0,5,0,3,100,72,136,Europe,fase de grupos,no
Victor Nelsson,DF,Denmark,24.18,1,0,0,0,2,3,0,1,33.3,93.2,79,Europe,fase de grupos,no
Vincent Aboubakar,FW,Cameroon,30.9,1.6,1,2,3,2,3,2,3,52.6,64.5,50,Africa,fase de grupos,si
Vincent Janssen,FW,Netherlands,28.51,1,0,0,2,2,2,0,2,17.9,80,32,Europe,cuartos de final,no
Vinicius Júnior,FW,Brazil,22.44,3.3,0,0,0,7,12,1,4,62.3,75.6,132,South America,cuartos de final,no
Virgil van Dijk,DF,Netherlands,31.45,5.3,0,0,5,2,31,0,5,100,87.4,399,Europe,cuartos de final,no
Vitinha,MF,Portugal,22.84,1.3,0,1,1,3,4,0,3,26.7,92.6,118,Europe,cuartos de final,si
Wahbi Khazri,FW,Tunisia,31.86,0.9,0,0,1,2,5,1,2,30.7,65,36,Africa,fase de grupos,no
Wajdi Kechrida,DF,Tunisia,27.12,1.2,0,1,2,0,6,0,3,41.1,63.8,77,Africa,fase de grupos,si
Walid Cheddira,FW,Morocco,24.9,0.7,1,2,5,0,0,0,2,9.7,50,18,Africa,final o tercer puesto,si
Walker Zimmerman,DF,United States,29.58,3.1,0,0,3,0,17,0,4,77.5,88.9,274,North America,octavos de final,no
Wataru Endo,MF,Japan,29.85,3.4,0,1,7,9,22,0,4,77.9,80.7,239,Asia,octavos de final,si
Wayne Hennessey,GK,Wales,35.9,1.9,1,0,1,0,0,0,2,64.8,75.8,68,Europe,fase de grupos,no
Weston McKennie,MF,United States,24.31,3,0,1,6,2,14,0,4,75.3,76.5,177,North America,octavos de final,si
William Carvalho,MF,Portugal,30.7,2.4,0,0,3,2,15,0,4,47.8,91.8,182,Europe,cuartos de final,no
William Saliba,DF,France,21.74,0.3,0,0,0,1,3,0,1,4.2,100,38,Europe,final o tercer puesto,no
Wojciech Szczęsny,GK,Poland,32.67,4,0,0,1,1,4,0,4,100,59.2,159,Europe,octavos de final,no
Wout Weghorst,FW,Netherlands,30.36,0.7,0,1,5,1,2,2,4,13.3,60,22,Europe,cuartos de final,si
Wéverton,GK,Brazil,35.01,0.1,0,0,0,0,0,0,1,2.3,60,5,South America,cuartos de final,no
Xavi Simons,FW,Netherlands,19.66,0.1,0,0,0,1,0,0,1,1.9,60,11,Europe,cuartos de final,no
Xherdan Shaqiri,FW,Switzerland,31.19,2.5,0,0,2,6,6,1,3,63.6,64.4,111,Europe,octavos de final,no
Yahya Attiat Allah,DF,Morocco,27.8,3.5,0,0,8,3,21,0,6,48.2,71.5,167,Africa,final o tercer puesto,no
Yahya Jabrane,MF,Morocco,31.5,0.2,0,0,0,0,NA,0,2,2.3,NA,NA,Africa,final o tercer puesto,no
Yann Sommer,GK,Switzerland,34,3,0,0,0,0,5,0,3,75,91.5,126,Europe,octavos de final,no
Yannick Carrasco,FW,Belgium,29.29,1.3,0,1,1,2,8,0,2,43,84.8,68,Europe,fase de grupos,si
Yasser Al-Shahrani,DF,Saudi Arabia,30.57,1,0,0,1,0,5,0,1,33,44.8,43,Asia,fase de grupos,no
Yassine Bounou,GK,Morocco,31.7,6.3,0,0,0,1,7,0,6,86.4,73.7,219,Africa,final o tercer puesto,no
Yassine Meriah,DF,Tunisia,29.46,3,0,0,3,1,16,0,3,100,81.3,208,Africa,fase de grupos,no
Yeltsin Tejeda,MF,Costa Rica,30.76,3,0,0,0,2,14,1,3,99.6,78.8,128,North America,fase de grupos,no
Youri Tielemans,MF,Belgium,25.62,1.1,0,0,2,1,9,0,3,35.2,82.8,77,Europe,fase de grupos,no
Youssef En-Nesyri,FW,Morocco,25.55,6,0,0,2,4,13,2,7,82.1,61.7,127,Africa,final o tercer puesto,no
Youssef Msakni,MF,Tunisia,32.14,1.9,0,0,0,4,9,0,2,62.6,72.5,95,Africa,fase de grupos,no
Youssouf Fofana,MF,France,23.94,2.5,0,0,3,1,17,0,6,34.4,85.7,138,Europe,final o tercer puesto,no
Youssouf Sabaly,DF,Senegal,29.79,4,0,0,3,12,27,0,4,100,86.3,253,Africa,octavos de final,no
Youssoufa Moukoko,FW,Germany,18.08,0,0,0,0,0,1,0,1,0.4,50,2,Europe,fase de grupos,no
Youstin Salas,DF,Costa Rica,26.5,0.5,0,0,0,0,5,0,2,17.4,78.9,27,North America,fase de grupos,no
Yuki Soma,FW,Japan,25.81,0.9,0,0,2,3,2,0,1,20.8,57.9,26,Asia,octavos de final,no
Yunus Musah,MF,United States,20.05,3.8,0,0,9,3,23,0,4,95.3,83,221,North America,octavos de final,no
Yuto Nagatomo,MF,Japan,36.27,2.3,0,0,6,0,11,0,4,53.6,71.6,123,Asia,octavos de final,no
Zakaria Aboukhlal,FW,Morocco,22.83,0.9,0,0,1,0,3,1,4,12,50,26,Africa,final o tercer puesto,no
Álvaro Morata,FW,Spain,30.15,2.1,0,0,1,2,2,3,4,47.4,68.3,58,Europe,octavos de final,no
Álvaro Zamora,MF,Costa Rica,20.78,0.3,0,0,0,0,1,0,1,11.1,100,9,North America,fase de grupos,no
Ángel Correa,MF,Argentina,27.78,0.1,0,0,0,1,0,0,1,0.7,100,6,South America,final o tercer puesto,no
Ángel Di María,MF,Argentina,34.84,3.2,0,0,0,7,7,1,5,41.7,77.4,201,South America,final o tercer puesto,no
Ángelo Preciado,DF,Ecuador,24.83,2.9,0,0,8,2,10,0,3,97.8,72.9,162,South America,fase de grupos,no
Éder Militão,DF,Brazil,24.92,3.9,0,1,7,3,29,0,4,72.3,90.6,306,South America,cuartos de final,si
Óscar Duarte,DF,Costa Rica,33.54,3,0,1,1,0,9,0,3,100,69.4,132,North America,fase de grupos,si
İlkay Gündoğan,MF,Germany,32.15,2.1,0,0,3,2,18,1,3,70,89.3,187,Europe,fase de grupos,no
