player,position,team,age,minutes_90s,cards_red,cards_yellow,fouls,fouled,ball_recoveries,goals,games,minutes_pct,passes_pct,touches,continent,ronda,amarillas
Artur Jędrzejczyk,DF,Poland,35.12,0.2,0,0,0,0,0,0,1,5.3,75,5,Europe,octavos de final,no
Asiri Haitham,FW,Saudi Arabia,21.73,0,0,0,1,0,0,0,1,0.7,50,5,Asia,fase de grupos,no
Assim Madibo,MF,Qatar,26.16,1.7,0,1,1,1,15,0,2,56.7,82.9,85,Asia,fase de grupos,si
Atiba Hutchinson,MF,Canada,39.86,1.8,0,0,2,2,10,0,3,58.9,89.3,131,North America,fase de grupos,no
Aurélien Tchouaméni,MF,France,22.89,6.9,0,1,8,10,44,1,7,94.1,89.9,533,Europe,final o tercer puesto,si
Awer Mabil,MF,Australia,27.26,0.3,0,0,0,0,2,0,2,6.7,71.4,18,Oceania,octavos de final,no
Axel Disasi,DF,France,24.77,1,0,0,0,1,4,0,3,13.9,78.2,90,Europe,final o tercer puesto,no
Axel Witsel,MF,Belgium,33.93,3,0,0,5,4,12,0,3,100,95.5,200,Europe,fase de grupos,no
Ayase Ueda,FW,Japan,24.27,0.5,0,0,1,0,3,0,1,11.5,58.3,23,Asia,octavos de final,no
Aymeric Laporte,DF,Spain,28.56,3.3,0,1,3,2,17,0,3,76.9,94.3,456,Europe,octavos de final,si
Aziz Behich,DF,Australia,32.01,4,0,1,3,3,22,0,4,100,74.9,249,Oceania,octavos de final,si
Azzedine Ounahi,MF,Morocco,22.67,6.3,0,1,3,13,38,0,7,86.1,81.5,328,Africa,final o tercer puesto,si
Aïssa Laïdouni,MF,Tunisia,26.01,2.7,0,1,3,6,25,0,3,90,80.5,156,Africa,fase de grupos,si
Baba Rahman,DF,Ghana,28.46,2,0,0,7,1,6,0,3,67.8,66,121,Africa,fase de grupos,no
Badr Banoun,DF,Morocco,29.22,0.6,0,0,2,0,2,0,3,8.2,95.5,28,Africa,final o tercer puesto,no
Bailey Wright,DF,Australia,30.39,0.2,0,0,0,0,0,0,1,4.7,33.3,5,Oceania,octavos de final,no
Bamba Dieng,FW,Senegal,22.74,1.1,0,0,5,3,4,1,4,27.8,56.3,32,Africa,octavos de final,no
Bartosz Bereszyński,DF,Poland,30.44,3.8,0,1,5,3,15,0,4,94.7,78.2,197,Europe,octavos de final,si
Bassam Al-Rawi,DF,Qatar,25.01,1,0,0,1,2,3,0,1,33.3,82.5,68,Asia,fase de grupos,no
Ben Davies,DF,Wales,29.65,2.6,0,0,1,3,20,0,3,88.1,75.8,184,Europe,fase de grupos,no
Benjamin Pavard,DF,France,26.73,1,0,0,0,0,5,0,1,13.3,91.1,94,Europe,final o tercer puesto,no
Bernardo Silva,MF,Portugal,28.36,4,0,0,1,2,32,0,5,79.1,87.7,309,Europe,cuartos de final,no
Bilal El Khannous,MF,Morocco,18.61,0.6,0,0,0,1,0,0,1,8.3,83.3,29,Africa,final o tercer puesto,no
Borna Barišić,DF,Croatia,30.1,1.3,0,1,5,2,3,0,1,17.4,72.5,81,Europe,final o tercer puesto,si
Borna Sosa,DF,Croatia,24.91,4.7,0,0,4,2,14,0,5,61.4,79.1,333,Europe,final o tercer puesto,no
Boualem Khoukhi,DF,Qatar,32.44,3,0,0,1,5,16,0,3,100,85.8,232,Asia,fase de grupos,no
Boulaye Dia,FW,Senegal,26.09,3.5,0,1,3,3,7,1,4,88.3,73.6,81,Africa,octavos de final,si
Brandon Aguilera,MF,Costa Rica,19.47,1,0,0,2,2,8,0,3,33.3,71.1,44,North America,fase de grupos,no
Breel Embolo,FW,Switzerland,25.84,3.6,0,0,3,12,6,2,4,89.7,74.2,92,Europe,octavos de final,no
Brenden Aaronson,MF,United States,22.16,1.2,0,0,3,3,9,0,4,30,82,78,North America,octavos de final,no
Brennan Johnson,FW,Wales,21.57,1,0,0,2,1,3,0,3,33.7,58.8,33,Europe,fase de grupos,no
Bruno Fernandes,FW,Portugal,28.28,4,0,1,2,8,23,2,4,79.1,80.7,266,Europe,cuartos de final,si
Bruno Guimarães,MF,Brazil,25.09,0.8,0,1,2,2,6,0,2,14.4,79.6,67,South America,cuartos de final,si
Bruno Petković,FW,Croatia,28.25,2.6,0,1,3,11,9,1,6,33.9,53.3,101,Europe,final o tercer puesto,si
Bryan Mbeumo,FW,Cameroon,23.36,2.6,0,0,1,8,7,0,3,86.3,57.6,106,Africa,fase de grupos,no
Bryan Oviedo,DF,Costa Rica,32.83,2.9,0,0,2,4,14,0,3,96.3,75.3,112,North America,fase de grupos,no
Bryan Ruiz,MF,Costa Rica,37.33,0.3,0,0,0,1,1,0,1,11.1,66.7,14,North America,fase de grupos,no
Bukayo Saka,FW,England,21.28,3.2,0,0,7,6,13,3,4,64,77.8,147,Europe,cuartos de final,no
Callum Wilson,FW,England,30.81,0.5,0,0,0,2,3,0,2,10.7,90,16,Europe,cuartos de final,no
Cameron Carter-Vickers,DF,United States,24.96,1,0,0,0,1,4,0,1,25,86.2,64,North America,octavos de final,no
Carlos Gruezo,MF,Ecuador,27.67,0.5,0,0,0,0,2,0,1,16.7,100,19,South America,fase de grupos,no
Carlos Martínez,DF,Costa Rica,23.72,0.5,0,0,1,0,3,0,1,16.7,66.7,20,North America,fase de grupos,no
Carlos Soler,MF,Spain,25.96,1,0,0,0,1,3,1,2,23.6,94,88,Europe,octavos de final,no
Casemiro,MF,Brazil,30.82,4.3,0,1,7,3,22,1,4,81.3,82.9,302,South America,cuartos de final,si
Celso Borges,MF,Costa Rica,34.56,2.8,0,1,2,0,17,0,3,92.2,81.7,143,North America,fase de grupos,si
Charles De Ketelaere,FW,Belgium,21.78,0.2,0,0,0,1,3,0,1,5.9,75,6,Europe,fase de grupos,no
Charly Rodríguez,MF,Mexico,25.96,0.4,0,0,1,1,6,0,2,12.6,70,36,North America,fase de grupos,no
Cheikhou Kouyaté,MF,Senegal,32.99,0.8,0,0,1,1,5,0,1,20,82.6,34,Africa,octavos de final,no
Cho Guesung,FW,Korea Republic,24.9,3.1,0,1,7,6,4,2,4,76.4,63.5,88,Asia,octavos de final,si
Cho Yumin,FW,Korea Republic,26.08,0,0,0,0,0,0,0,1,0.3,NA,0,Asia,octavos de final,no
Chris Mepham,DF,Wales,25.12,3,0,1,7,1,8,0,3,100,82,199,Europe,fase de grupos,si
Christian Bassogog,MF,Cameroon,27.17,0.3,0,1,0,1,2,0,1,8.9,55.6,13,Africa,fase de grupos,si
Christian Eriksen,MF,Denmark,30.84,3,0,0,2,1,30,0,3,100,81.7,253,Europe,fase de grupos,no
Christian Fassnacht,FW,Switzerland,29.1,0.1,0,0,0,0,2,0,1,2.2,70,12,Europe,octavos de final,no
Christian Nørgaard,MF,Denmark,28.78,0.1,0,0,0,0,2,0,1,2.2,93.3,15,Europe,fase de grupos,no
Christian Pulisic,FW,United States,24.25,3.5,0,0,2,11,11,1,4,87.5,58.9,187,North America,octavos de final,no
Christopher Wooh,DF,Cameroon,21.25,1,0,0,2,0,0,0,1,33.3,80.6,45,Africa,fase de grupos,no
Cody Gakpo,FW,Netherlands,23.62,5,0,0,8,5,19,3,5,93.8,62.8,205,Europe,cuartos de final,no
Collins Fai,DF,Cameroon,30.35,3,0,2,4,4,21,0,3,100,67.8,169,Africa,fase de grupos,si
Connor Roberts,DF,Wales,27.24,2.2,0,0,0,1,8,0,3,74.1,78,138,Europe,fase de grupos,no
Craig Goodwin,MF,Australia,31.01,2.6,0,0,1,2,14,1,4,65,61.1,118,Oceania,octavos de final,no
Cristian Romero,DF,Argentina,24.64,6.1,0,2,12,3,35,0,7,79.3,89.9,428,South America,final o tercer puesto,si
Cristiano Ronaldo,FW,Portugal,37.87,3.2,0,0,2,5,6,1,5,64.4,75.6,116,Europe,cuartos de final,no
Cyle Larin,FW,Canada,27.67,1.5,0,0,2,0,4,0,3,50.7,72.4,44,North America,fase de grupos,no
César Azpilicueta,DF,Spain,33.31,1.5,0,0,2,0,5,0,2,34.6,94.5,185,Europe,octavos de final,no
César Montes,DF,Mexico,25.81,3,0,0,4,0,13,0,3,100,80.7,222,North America,fase de grupos,no
Daichi Kamada,FW,Japan,26.37,3.6,0,0,1,1,10,0,4,82.6,79.8,139,Asia,octavos de final,no
Daizen Maeda,FW,Japan,25.16,2,0,0,2,3,4,1,3,46.2,47.1,31,Asia,octavos de final,no
Daley Blind,DF,Netherlands,32.78,4.7,0,0,3,1,24,1,5,88.1,84,339,Europe,cuartos de final,no
Damian Szymański,MF,Poland,27.51,0.3,0,0,0,0,0,0,1,8.1,100,9,Europe,octavos de final,no
Dani Alves,DF,Brazil,39.62,1.3,0,0,5,2,9,0,2,24.6,85.6,113,South America,cuartos de final,no
Dani Carvajal,DF,Spain,30.93,1.5,0,0,0,1,9,0,2,34.6,89.6,137,Europe,octavos de final,no
Dani Olmo,FW,Spain,24.62,4.1,0,0,5,6,15,1,4,94.1,81.8,257,Europe,octavos de final,no
Daniel Amartey,DF,Ghana,27.99,2.8,0,2,3,1,15,0,3,93,90.8,172,Africa,fase de grupos,si
Daniel Chacón,MF,Costa Rica,21.69,0,0,0,0,0,0,0,1,0.4,100,2,North America,fase de grupos,no
Daniel James,FW,Wales,25.1,1.7,0,1,1,2,4,0,3,57,66.7,49,Europe,fase de grupos,si
Daniel Kyereh,MF,Ghana,26.78,0.4,0,0,0,0,3,0,3,12.2,78.3,31,Africa,fase de grupos,no
Danilo,DF,Brazil,31.43,3.1,0,1,3,1,17,0,3,58.5,85.5,289,South America,cuartos de final,si
Danilo Pereira,DF,Portugal,31.27,1,0,1,1,2,4,0,1,20,87.2,87,Europe,cuartos de final,si
Danny Ward,GK,Wales,29.49,1,0,0,0,0,2,0,2,34.8,61.5,42,Europe,fase de grupos,no
Darko Lazović,DF,Serbia,32.26,0.3,0,0,0,1,0,0,1,9.3,58.3,14,Europe,fase de grupos,no
Darwin Núñez,FW,Uruguay,23.48,2.7,0,1,2,3,6,0,3,88.9,62.5,85,South America,fase de grupos,si
David Raum,DF,Germany,24.66,2.7,0,0,5,3,12,0,3,89.6,78.5,229,Europe,fase de grupos,no
David Wotherspoon,MF,Canada,32.92,0.2,0,0,0,1,3,0,1,5.6,57.1,9,North America,fase de grupos,no
Davy Klaassen,MF,Netherlands,29.82,2.1,0,0,1,3,14,1,4,39.6,76.6,96,Europe,cuartos de final,no
Dayot Upamecano,DF,France,24.14,5.3,0,0,4,3,33,0,5,72.7,89.5,393,Europe,final o tercer puesto,no
DeAndre Yedlin,DF,United States,29.44,0.4,0,0,2,0,1,0,2,9.2,67.9,32,North America,octavos de final,no
Declan Rice,MF,England,23.93,4.6,0,0,3,2,29,0,5,92.7,93.2,362,Europe,cuartos de final,no
Dejan Lovren,DF,Croatia,33.45,6.7,0,1,2,5,31,0,6,87,88,515,Europe,final o tercer puesto,si
Denis Odoi,DF,Ghana,34.56,0.1,0,0,0,0,0,0,1,4.8,100,7,Africa,fase de grupos,no
Denis Zakaria,MF,Switzerland,26.08,0.7,0,0,1,2,5,0,2,16.4,87,32,Europe,octavos de final,no
Denzel Dumfries,DF,Netherlands,26.67,5.3,1,2,17,7,16,1,5,99.8,68.7,274,Europe,cuartos de final,si
Devis Epassy,GK,Cameroon,29.87,2,0,0,0,1,1,0,2,66.7,68.7,93,Africa,fase de grupos,no
Diego Godín,DF,Uruguay,36.84,1.7,0,0,0,1,6,0,2,55.9,84.5,116,South America,fase de grupos,no
Diogo Costa,GK,Portugal,23.25,5,0,0,0,0,9,0,5,100,70.6,170,Europe,cuartos de final,no
Diogo Dalot,DF,Portugal,23.75,2.9,0,0,1,1,13,0,3,57.3,76.2,172,Europe,cuartos de final,no
Djibril Sow,MF,Switzerland,25.86,2.9,0,0,2,7,9,0,4,73.3,86.6,115,Europe,octavos de final,no
Djorkaeff Reasco,FW,Ecuador,23.92,0.3,0,0,1,0,1,0,1,10,100,3,South America,fase de grupos,no
Dominik Livaković,GK,Croatia,27.94,7.7,0,1,1,0,11,0,7,100,85.1,245,Europe,final o tercer puesto,si
Dries Mertens,MF,Belgium,35.62,0.8,0,0,0,0,2,0,2,28.1,66.7,39,Europe,fase de grupos,no
Dušan Tadić,MF,Serbia,34.08,2.9,0,0,7,4,10,0,3,95.2,70.9,150,Europe,fase de grupos,no
Dušan Vlahović,FW,Serbia,22.89,0.9,0,0,0,2,3,1,2,29.3,54.5,19,Europe,fase de grupos,no
Dylan Bronn,DF,Tunisia,27.5,1.8,0,0,1,1,7,0,2,60,76.5,104,Africa,fase de grupos,no
Eden Hazard,MF,Belgium,31.95,1.4,0,0,0,7,7,0,3,45.9,79.3,70,Europe,fase de grupos,no
Ederson,GK,Brazil,29.34,1,0,0,0,0,2,0,1,18.8,90.3,32,South America,cuartos de final,no
Edimilson Fernandes,FW,Switzerland,26.68,1.6,0,0,1,1,14,0,3,40.3,79.3,95,Europe,octavos de final,no
Edinson Cavani,FW,Uruguay,35.84,1.4,0,1,0,1,6,0,3,45.9,73,44,South America,fase de grupos,si
Edouard Mendy,GK,Senegal,30.8,4,0,0,0,0,4,0,4,100,73.3,128,Africa,octavos de final,no
Edson Álvarez,MF,Mexico,25.15,1.9,0,1,4,1,10,0,2,64.8,75.4,131,North America,fase de grupos,si
Eduardo Camavinga,DF,France,20.1,1.6,0,0,2,8,15,0,2,21.2,88,138,Europe,final o tercer puesto,no
Ehsan Hajsafi,MF,IR Iran,32.81,2.6,0,0,1,3,10,0,3,87.8,62.2,118,Asia,fase de grupos,no
Ellyes Skhiri,MF,Tunisia,27.61,3,0,0,3,2,18,0,3,100,85.8,161,Africa,fase de grupos,no
Emiliano Martínez,GK,Argentina,30.29,7.7,0,1,0,1,4,0,7,100,64.2,196,South America,final o tercer puesto,si
Enner Valencia,FW,Ecuador,33.12,2.8,0,0,3,7,8,3,3,94.4,70.2,98,South America,fase de grupos,no
Enzo Ebosse,DF,Cameroon,23.77,1,0,0,0,0,1,0,1,33.3,89.5,49,Africa,fase de grupos,no
