SE_ROW_ID,MSLINK,PARADA,RAMAL,SENTIDO,ORDEN,ID_PARADA,CALLE_UNO,CALLE_DOS,COD_SMS,OCHAVA,REFUGIO,DISTRITO,PUNTO_X,PUNTO_Y,CAMBIO,USUARIO_CA,TYPE,CHECKSUM,GEOJSON
3830,0,1247,27,V,220,0,1901,1013,3727,NE        ,B         ,SUR                                                                                                                                                   ,-60.655962,-32.977199,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.655962, -32.977199 ] } }"
3843,0,2298,26,I,27,0,1901,1013,4597,SO        ,P         ,SUR                                                                                                                                                   ,-60.656221,-32.977475,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.656221, -32.977475 ] } }"
3914,0,436,17,I,199,0,1473,176,1245,NE        ,A         ,CENTRO                                                                                                                                                ,-60.654563,-32.954685,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.654563, -32.954685 ] } }"
3917,0,447,17,I,200,0,1473,529,1041,NE        ,A         ,CENTRO                                                                                                                                                ,-60.657264,-32.954203,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.657264, -32.954203 ] } }"
3926,0,798,8,I,0,0,1852,1262,8920,SO        ,P         ,CENTRO                                                                                                                                                ,-60.657076,-32.935832,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.657076, -32.935832 ] } }"
3932,0,794,8,I,0,0,1852,1411,2781,SO        ,B         ,CENTRO                                                                                                                                                ,-60.659793,-32.935344,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.659793, -32.935344 ] } }"
3939,0,1749,8,I,0,0,1852,1789,9552,SO        ,P         ,CENTRO                                                                                                                                                ,-60.661151,-32.935099,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.661151, -32.935099 ] } }"
3959,0,488,17,V,221,0,1088,1262,4412,NE        ,P         ,CENTRO                                                                                                                                                ,-60.656552,-32.934509,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.656552, -32.934509 ] } }"
3962,0,491,17,V,222,0,1088,308,4835,NE        ,P         ,CENTRO                                                                                                                                                ,-60.657911,-32.934266,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.657911, -32.934266 ] } }"
3969,0,1062,17,V,223,0,1411,1852,5986,NO        ,P         ,CENTRO                                                                                                                                                ,-60.659748,-32.935168,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.659748, -32.935168 ] } }"
3982,0,985,44,I,52,0,2000,1789,9285,NE        ,P         ,CENTRO                                                                                                                                                ,-60.661815,-32.938479,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.661815, -32.938479 ] } }"
4032,0,2577,20,I,76,0,759,1903,5198,SO        ,I         ,SUR                                                                                                                                                   ,-60.632226,-32.994502,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.632226, -32.994502 ] } }"
4033,0,366,10,I,55,0,1864,1886,8567,SO        ,P         ,CENTRO                                                                                                                                                ,-60.655543,-32.94101,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.655543, -32.941010 ] } }"
4035,0,2576,20,I,73,0,1463,166,8422,NO        ,I         ,SUR                                                                                                                                                   ,-60.634655,-32.992404,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.634655, -32.992404 ] } }"
4036,0,365,10,I,54,0,1864,1262,1764,SO        ,A         ,CENTRO                                                                                                                                                ,-60.65826,-32.940521,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.658260, -32.940521 ] } }"
4037,0,1788,20,I,70,0,1360,81,9243,NO        ,P         ,SUR                                                                                                                                                   ,-60.63448,-32.989505,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.634480, -32.989505 ] } }"
4038,0,363,10,I,53,0,1864,1411,1668,SO        ,A         ,CENTRO                                                                                                                                                ,-60.660977,-32.940033,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.660977, -32.940033 ] } }"
4040,0,1812,10,I,52,0,1864,1789,1961,SO        ,A         ,CENTRO                                                                                                                                                ,-60.662335,-32.939789,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.662335, -32.939789 ] } }"
4048,0,2582,14,I,5,0,1463,166,5168,SE        ,I         ,SUR                                                                                                                                                   ,-60.634479,-32.992525,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.634479, -32.992525 ] } }"
4059,0,3165,20,I,47,0,1864,1866,1745,SO        ,A         ,CENTRO                                                                                                                                                ,-60.636307,-32.9448,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.636307, -32.944800 ] } }"
4075,0,84,20,I,39,0,634,1411,7576,SO        ,P         ,CENTRO                                                                                                                                                ,-60.661553,-32.942313,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.661553, -32.942313 ] } }"
4115,0,439,58,I,68,0,1473,1727,5287,NE        ,P         ,CENTRO                                                                                                                                                ,-60.659982,-32.953715,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.659982, -32.953715 ] } }"
4122,0,798,56,I,57,0,1852,1262,8920,SO        ,P         ,CENTRO                                                                                                                                                ,-60.657076,-32.935832,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.657076, -32.935832 ] } }"
4164,0,3230,45,V,253,0,1877,1727,6212,NE        ,P         ,CENTRO                                                                                                                                                ,-60.656917,-32.941579,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.656917, -32.941579 ] } }"
4173,0,2669,45,V,211,0,1835,1463,9218,NE        ,P         ,SUR                                                                                                                                                   ,-60.634034,-33.001434,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.634034, -33.001434 ] } }"
4178,0,2665,46,V,109,0,126,1463,9052,SO        ,I         ,SUR                                                                                                                                                   ,-60.634131,-33.002664,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.634131, -33.002664 ] } }"
4195,0,3230,1048,I,0,0,1877,1727,6212,NE        ,P         ,CENTRO                                                                                                                                                ,-60.656917,-32.941579,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.656917, -32.941579 ] } }"
4231,0,2217,1072,I,0,0,126,1285,8882,SO        ,I         ,SUROESTE                                                                                                                                              ,-60.659882,-33.003438,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.659882, -33.003438 ] } }"
4287,0,2726,44,I,8,0,92,156,2250,NE        ,B         ,SUR                                                                                                                                                   ,-60.63644,-32.997321,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.636440, -32.997321 ] } }"
4288,0,2725,44,I,7,0,92,1463,8269,NE        ,I         ,SUR                                                                                                                                                   ,-60.634213,-32.997253,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.634213, -32.997253 ] } }"
4289,0,2724,44,I,6,0,92,1903,6672,NE        ,P         ,SUR                                                                                                                                                   ,-60.631924,-32.997184,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.631924, -32.997184 ] } }"
4312,0,724,44,V,280,0,1128,1903,5323,SO        ,P         ,SUR                                                                                                                                                   ,-60.632097,-32.996651,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.632097, -32.996651 ] } }"
4324,0,2752,44,V,279,0,1128,1463,4631,SO        ,I         ,SUR                                                                                                                                                   ,-60.634385,-32.99672,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.634385, -32.996720 ] } }"
4325,0,2751,44,V,278,0,1128,156,7227,SO        ,P         ,SUR                                                                                                                                                   ,-60.636741,-32.996792,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.636741, -32.996792 ] } }"
4336,0,1812,1055,V,0,0,1864,1789,1961,SO        ,A         ,CENTRO                                                                                                                                                ,-60.662335,-32.939789,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.662335, -32.939789 ] } }"
4411,0,2173,20,V,208,0,1049,1463,6589,NE        ,I         ,SUR                                                                                                                                                   ,-60.634438,-32.99348,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.634438, -32.993480 ] } }"
4438,0,442,58,V,237,0,1473,1262,8521,SO        ,P         ,CENTRO                                                                                                                                                ,-60.661596,-32.953733,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.661596, -32.953733 ] } }"
4439,0,440,58,V,238,0,1473,1727,7181,SO        ,P         ,CENTRO                                                                                                                                                ,-60.660474,-32.953935,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.660474, -32.953935 ] } }"
4440,0,446,58,V,239,0,1473,1886,9844,SO        ,P         ,CENTRO                                                                                                                                                ,-60.658864,-32.954228,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.658864, -32.954228 ] } }"
4441,0,492,58,V,240,0,529,1321,7938,SE        ,P         ,CENTRO                                                                                                                                                ,-60.657034,-32.953291,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.657034, -32.953291 ] } }"
4458,0,992,58,V,258,0,2000,308,5256,NE        ,P         ,CENTRO                                                                                                                                                ,-60.659098,-32.938967,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.659098, -32.938967 ] } }"
4463,0,3034,58,V,263,0,950,869,8984,NE        ,B         ,CENTRO                                                                                                                                                ,-60.662231,-32.931046,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.662231, -32.931046 ] } }"
4477,0,37,96,V,0,0,1862,1134,4706,NE        ,PS        ,CENTRO                                                                                                                                                ,-60.63489,-32.950936,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.634890, -32.950936 ] } }"
4493,0,442,56,V,237,0,1473,1262,8521,SO        ,P         ,CENTRO                                                                                                                                                ,-60.661596,-32.953733,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.661596, -32.953733 ] } }"
4522,0,3034,56,V,263,0,950,869,8984,NE        ,B         ,CENTRO                                                                                                                                                ,-60.662231,-32.931046,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.662231, -32.931046 ] } }"
4548,0,3219,1016,I,0,0,1134,634,7314,NO        ,P         ,CENTRO                                                                                                                                                ,-60.633913,-32.947213,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.633913, -32.947213 ] } }"
4622,0,2180,14,I,3,0,1463,1110,6785,SE        ,I         ,SUR                                                                                                                                                   ,-60.634518,-32.991129,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.634518, -32.991129 ] } }"
4623,0,2173,14,I,2,0,1049,1463,6589,NE        ,I         ,SUR                                                                                                                                                   ,-60.634438,-32.99348,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.634438, -32.993480 ] } }"
4680,0,3165,24,I,199,0,1864,1866,1745,SO        ,A         ,CENTRO                                                                                                                                                ,-60.636307,-32.9448,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.636307, -32.944800 ] } }"
4684,0,3168,24,V,202,0,1134,1862,1369,NO        ,A         ,CENTRO                                                                                                                                                ,-60.634997,-32.950915,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.634997, -32.950915 ] } }"
4726,0,2619,1048,V,0,0,156,1338,3296,NO        ,B         ,SUR                                                                                                                                                   ,-60.635974,-33.007905,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.635974, -33.007905 ] } }"
